 ,埼玉県推計人口（埼玉県総務部統計課）,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,令和5年4月1日現在人口と3月中の異動人口,,,,,,,,,,,,,,,,,,,,,
3,,,,,※　さいたま市の各区の転入・転出には区間移動が含まれるため、区の合計とさいたま市の総数は一致しない。また、この区間移動分は、県計及び市部計には含まない。,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,標準地域コード,市区町村コード,地域識別番号,市区町村名,世帯数（世帯）,人口　総数（人）,人口　男（人）,人口　女（人）,前月からの増減数（人）,前年同月からの増減数（人）,前年同月からの増減率（％）,自然動態　自然増減数（人）,自然動態　出生（人）,自然動態　死亡（人）,社会動態　社会増減数（人）,社会動態　転入（人）,社会動態　転出（人）,社会動態のうち県外移動・職権記載・職権消除　増減数（人）,社会動態のうち県外転入・職権記載　総数（人）,社会動態のうち県外転入・職権記載　男（人）,社会動態のうち県外転入・職権記載　女（人）,社会動態のうち県外転出・職権消除　総数（人）,社会動態のうち県外転出・職権消除　男（人）,社会動態のうち県外転出・職権消除　女（人）,人口構成比（％）,人口密度（人／km2）
6,11000,,a,埼玉県,3253934,7328073,3634848,3693225,2948,-3183,-0.04,-3600,3578,7178,6548,57020,50472,6548,40072,21393,18679,33524,18620,14904,100,1929.6
7,11001,,b,埼玉県　市部,3054968,6849436,3396068,3453368,3607,425,0.01,-3191,3421,6612,6798,54328,47530,6693,38672,20618,18054,31979,17740,14239,93.47,2426.3
8,11002,,b,埼玉県　郡部,198966,478637,238780,239857,-659,-3608,-0.75,-409,157,566,-250,2692,2942,-145,1400,775,625,1545,880,665,6.53,491.1
9,11100,,1,さいたま市,605351,1341939,659799,682140,2319,5957,0.45,-342,780,1122,2661,11589,8928,2414,9030,4768,4262,6616,3661,2955,18.31,6171.8
10,11101,1015,0,西区,39958,95235,46666,48569,183,394,0.42,-19,66,85,202,806,604,113,427,217,210,314,156,158,1.3,3270.4
11,11102,1023,0,北区,68714,150065,73452,76613,232,305,0.2,-63,69,132,295,1760,1465,370,1191,629,562,821,460,361,2.05,8900.7
12,11103,1031,0,大宮区,58989,123124,60963,62161,493,1586,1.3,-25,75,100,518,1741,1223,407,1199,628,571,792,455,337,1.68,9619.1
13,11104,1040,0,見沼区,73241,166226,81048,85178,193,140,0.08,-80,74,154,273,1403,1130,251,901,466,435,650,351,299,2.27,5416.3
14,11105,1058,0,中央区,49385,104150,51242,52908,175,201,0.19,-10,66,76,185,1099,914,221,763,387,376,542,303,239,1.42,12413.6
15,11106,1066,0,桜区,47948,98965,49802,49163,16,315,0.32,-41,48,89,57,979,922,66,625,343,282,559,324,235,1.35,5309.3
16,11107,1074,0,浦和区,77295,167605,80769,86836,394,888,0.53,-27,108,135,421,1976,1555,426,1426,751,675,1000,557,443,2.29,14561.7
17,11108,1082,0,南区,88545,193172,95707,97465,190,958,0.5,-13,126,139,203,1918,1715,219,1302,708,594,1083,591,492,2.64,13977.7
18,11109,1091,0,緑区,53602,132239,65034,67205,262,1186,0.9,-17,91,108,279,1230,951,182,719,380,339,537,281,256,1.8,5001.5
19,11110,1104,0,岩槻区,47674,111158,55116,56042,181,-16,-0.01,-47,57,104,228,813,585,159,477,259,218,318,183,135,1.52,2260.7
20,11201,2011,1,川越市,158015,354448,176912,177536,226,129,0.04,-169,157,326,395,2856,2461,292,1949,1083,866,1657,929,728,4.84,3247.9
21,11202,2020,1,熊谷市,81623,191081,95452,95629,-422,-996,-0.52,-133,79,212,-289,1018,1307,-185,667,384,283,852,505,347,2.61,1195.6
22,11203,2038,1,川口市,273664,591717,297311,294406,744,-48,-0.01,-234,319,553,978,5164,4186,1074,4064,2262,1802,2990,1681,1309,8.07,9551.5
23,11206,2062,1,行田市,32299,76860,37831,39029,-76,-467,-0.6,-53,41,94,-23,465,488,-44,246,129,117,290,148,142,1.05,1138.8
24,11207,2071,1,秩父市,23760,57236,27883,29353,-146,-1001,-1.72,-54,28,82,-92,234,326,-44,116,64,52,160,79,81,0.78,99.1
25,11208,2089,1,所沢市,157104,342027,167350,174677,263,90,0.03,-166,162,328,429,2583,2154,425,1971,1009,962,1546,792,754,4.67,4743.1
26,11209,2097,1,飯能市,34246,79467,39772,39695,-5,-150,-0.19,-79,22,101,74,523,449,80,349,206,143,269,167,102,1.08,411.6
27,11210,2101,1,加須市,45994,110995,55643,55352,47,285,0.26,-65,39,104,112,715,603,82,427,234,193,345,200,145,1.51,832.7
28,11211,2119,1,本庄市,34128,78166,39105,39061,-44,-67,-0.09,-54,45,99,10,566,556,32,391,220,171,359,168,191,1.07,871.5
29,11212,2127,1,東松山市,41241,92084,46270,45814,54,241,0.26,-69,41,110,123,789,666,75,476,271,205,401,233,168,1.26,1409.1
30,11214,2143,1,春日部市,100558,227554,112019,115535,-62,-1103,-0.48,-167,95,262,105,1373,1268,90,849,466,383,759,429,330,3.11,3447.8
31,11215,2151,1,狭山市,65594,147805,73370,74435,-11,-269,-0.18,-76,82,158,65,1043,978,34,666,359,307,632,358,274,2.02,3017
32,11216,2160,1,羽生市,21880,52382,26026,26356,1,-68,-0.13,-32,22,54,33,392,359,27,255,150,105,228,136,92,0.71,893.3
33,11217,2178,1,鴻巣市,49087,116466,57475,58991,-22,91,0.08,-77,47,124,55,720,665,2,390,193,197,388,218,170,1.59,1727
34,11218,2186,1,深谷市,57302,139654,69220,70434,-93,-663,-0.47,-121,69,190,28,806,778,-15,458,254,204,473,296,177,1.91,1009.3
35,11219,2194,1,上尾市,100155,228018,112532,115486,148,-87,-0.04,-149,105,254,297,1687,1390,200,1038,518,520,838,471,367,3.11,5010.3
36,11221,2216,1,草加市,115749,249061,125093,123968,157,314,0.13,-109,122,231,266,2039,1773,334,1563,839,724,1229,698,531,3.4,9070
37,11222,2224,1,越谷市,146189,340098,167551,172547,143,-1036,-0.3,-99,174,273,242,2299,2057,252,1565,794,771,1313,712,601,4.64,5645.7
38,11223,2232,1,蕨市,37326,73795,37198,36597,18,-114,-0.15,-36,39,75,54,913,859,89,624,351,273,535,310,225,1.01,14441.3
39,11224,2241,1,戸田市,66502,142097,71560,70537,109,740,0.52,1,99,98,108,1572,1464,216,1209,642,567,993,516,477,1.94,7811.8
40,11225,2259,1,入間市,62573,143718,70632,73086,-146,-707,-0.49,-109,39,148,-37,814,851,-12,561,286,275,573,302,271,1.96,3215.9
41,11227,2275,1,朝霞市,64422,142379,71226,71153,233,370,0.26,-32,79,111,265,1725,1460,218,1254,607,647,1036,604,432,1.94,7763.3
42,11228,2283,1,志木市,33648,75349,36900,38449,103,99,0.13,-24,29,53,127,729,602,176,536,260,276,360,204,156,1.03,8325.9
43,11229,2291,1,和光市,40262,83374,42662,40712,-392,380,0.46,3,48,45,-395,1356,1751,-263,1163,654,509,1426,806,620,1.14,7552
44,11230,2305,1,新座市,75675,165405,81302,84103,167,-136,-0.08,-73,77,150,240,1349,1109,247,1009,537,472,762,401,361,2.26,7261
45,11231,2313,1,桶川市,31710,74178,36520,37658,44,-57,-0.08,-48,37,85,92,499,407,78,300,164,136,222,111,111,1.01,2926.2
46,11232,2321,1,久喜市,63651,148670,73469,75201,-69,-431,-0.29,-85,62,147,16,994,978,-25,609,301,308,634,354,280,2.03,1804
47,11233,2330,1,北本市,28205,64751,31776,32975,-5,-177,-0.27,-57,30,87,52,384,332,29,209,113,96,180,105,75,0.88,3267
48,11234,2348,1,八潮市,43451,93507,48095,45412,208,497,0.53,-14,62,76,222,942,720,223,755,423,332,532,304,228,1.28,5189.1
49,11235,2356,1,富士見市,52880,112844,54997,57847,287,269,0.24,-31,66,97,318,1177,859,343,837,403,434,494,270,224,1.54,5707.8
50,11237,2372,1,三郷市,62332,141510,70859,70651,-112,-568,-0.4,-66,71,137,-46,862,908,-9,667,364,303,676,376,300,1.93,4696.6
51,11238,2381,1,蓮田市,26175,61107,30231,30876,19,-276,-0.45,-39,36,75,58,421,363,32,215,111,104,183,97,86,0.83,2240
52,11239,2399,1,坂戸市,45669,99376,49538,49838,-72,-148,-0.15,-79,38,117,7,788,781,45,491,276,215,446,230,216,1.36,2422.6
53,11240,2402,1,幸手市,21148,48990,24399,24591,-16,-301,-0.61,-39,16,55,23,253,230,-2,143,70,73,145,87,58,0.67,1443.9
54,11241,2411,1,鶴ヶ島市,31970,70329,34652,35677,28,196,0.28,-21,44,65,49,605,556,46,331,205,126,285,136,149,0.96,3984.6
55,11242,2429,1,日高市,22848,53734,26533,27201,1,-232,-0.43,-49,15,64,50,348,298,41,191,88,103,150,76,74,0.73,1131.7
56,11243,2437,1,吉川市,28703,71635,35513,36122,-31,-175,-0.24,-30,28,58,-1,418,419,-2,265,132,133,267,136,131,0.98,2262.6
57,11245,2453,1,ふじみ野市,50460,113113,55497,57616,31,-8,-0.01,-89,50,139,120,994,874,117,650,333,317,533,327,206,1.54,7726.3
58,11246,2461,1,白岡市,21419,52517,25895,26622,-19,52,0.1,-26,27,53,7,324,317,-19,183,95,88,202,107,95,0.72,2107.4
59,11300,,c,北足立郡,18469,45077,22576,22501,-3,121,0.27,-14,14,28,11,295,284,-7,147,67,80,154,91,63,0.62,3047.8
60,11301,3018,1,伊奈町,18469,45077,22576,22501,-3,121,0.27,-14,14,28,11,295,284,-7,147,67,80,154,91,63,0.62,3047.8
61,11320,,c,入間郡,35910,83194,40995,42199,-72,-662,-0.79,-67,28,95,-5,575,580,50,361,200,161,311,164,147,1.14,926.5
62,11324,3247,1,三芳町,15233,37926,18544,19382,-27,-183,-0.48,-10,19,29,-17,187,204,1,107,54,53,106,60,46,0.52,2474
63,11326,3263,1,毛呂山町,15985,34573,17130,17443,-70,-334,-0.96,-45,7,52,-25,262,287,7,163,79,84,156,69,87,0.47,1014.8
64,11327,3271,1,越生町,4692,10695,5321,5374,25,-145,-1.34,-12,2,14,37,126,89,42,91,67,24,49,35,14,0.15,264.8
65,11340,,c,比企郡,51284,124605,62442,62163,-229,-1231,-0.98,-109,39,148,-120,576,696,-92,271,162,109,363,209,154,1.7,442.1
66,11341,3417,1,滑川町,7957,20012,10191,9821,16,64,0.32,2,13,11,14,125,111,-2,65,43,22,67,43,24,0.27,674.3
67,11342,3425,1,嵐山町,7575,17658,8800,8858,-53,-47,-0.27,-12,5,17,-41,90,131,-13,48,28,20,61,34,27,0.24,590.2
68,11343,3433,1,小川町,11780,27362,13648,13714,-87,-447,-1.61,-33,7,40,-54,100,154,-34,55,33,22,89,53,36,0.37,453.3
69,11346,3468,1,川島町,7379,18744,9503,9241,-20,-164,-0.87,-17,5,22,-3,88,91,0,44,25,19,44,28,16,0.26,450.3
70,11347,3476,1,吉見町,6946,17527,8827,8700,-35,-294,-1.65,-21,6,27,-14,72,86,-15,25,13,12,40,21,19,0.24,453.6
71,11348,3484,1,鳩山町,5448,13177,6381,6796,-24,-139,-1.04,-16,0,16,-8,61,69,-19,18,10,8,37,16,21,0.18,512.1
72,11349,3492,1,ときがわ町,4199,10125,5092,5033,-26,-204,-1.98,-12,3,15,-14,40,54,-9,16,10,6,25,14,11,0.14,181.1
73,11360,,c,秩父郡,14240,35792,17665,18127,-131,-760,-2.08,-56,11,67,-75,132,207,-34,49,28,21,83,51,32,0.49,101.7
74,11361,3611,1,横瀬町,3068,7667,3789,3878,-5,-122,-1.57,-8,4,12,3,44,41,-4,17,6,11,21,12,9,0.1,155.3
75,11362,3620,1,皆野町,3577,8935,4423,4512,-36,-154,-1.69,-10,3,13,-26,27,53,-11,7,7,0,18,13,5,0.12,140.2
76,11363,3638,1,長瀞町,2585,6527,3204,3323,-22,-113,-1.7,-12,2,14,-10,23,33,-7,7,4,3,14,9,5,0.09,214.5
